customerID,churn_probability,driver_1,driver_2,driver_3,recommended_action,expected_monthly_loss
5419-JPRRN,0.8233006273921646,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,83.52
3158-MOERK,0.8222771659491045,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.94
4826-XTSOH,0.821693078423615,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.71
8884-ADFVN,0.8216919358497093,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,83.77
3068-OMWZA,0.8194488098000212,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.77
4822-RVYBB,0.819176435736512,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,82.41
1069-XAIEM,0.8184928525555483,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.61
6023-YEBUP,0.817586408008631,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,82.54
2545-EBUPK,0.8173336564111429,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.7
9057-SIHCH,0.8170418711564766,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.93
5192-EBGOV,0.8164748310629817,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.97
1400-MMYXY,0.8157033005911654,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,86.38
0781-LKXBR,0.8153107452690056,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,81.94
6496-SLWHQ,0.8138806330431434,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,85.46
2660-EMUBI,0.8133113649267137,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,77.55
5277-ZLOOR,0.8128054286947726,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.54
4695-WJZUE,0.8125737205131489,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.95
6630-UJZMY,0.811503605966637,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.56
8161-QYMTT,0.8113525061185791,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,76.35
1415-YFWLT,0.8107773897728119,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.4
2012-NWRPA,0.8099649107164041,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.63
4626-GYCZP,0.8097325281971369,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.99
2446-BEGGB,0.8079782398592917,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.38
9681-OXGVC,0.8066104742288446,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,81.06
4750-ZRXIU,0.8063023389746836,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.21
9061-TIHDA,0.8052224765296743,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,76.7
7450-NWRTR,0.8050558896670352,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.06
3988-RQIXO,0.8047513940533009,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.47
6521-YYTYI,0.8047396464699867,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.08
1273-MTETI,0.8028196374870303,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.33
3793-MMFUH,0.8013000976475583,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,76.16
2865-TCHJW,0.8005999496021491,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.41
1455-UGQVH,0.7984631771364964,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.65
0196-VULGZ,0.7983478255020182,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.34
4912-PIGUY,0.7972814345633705,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.45
7943-RQCHR,0.7967887317517691,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.5
2656-TABEH,0.7966322904974629,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.82
9305-CDSKC,0.7963087122310504,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.35
9282-IZGQK,0.796172107883779,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.67
8972-HJWNV,0.7959779066555812,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.3
3489-HHPFY,0.7959112909825264,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.9
1724-BQUHA,0.7956766613307927,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.21
0564-JJHGS,0.7956003373364876,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.98
6513-EECDB,0.794947112100172,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.47
8603-IJWDN,0.7946530328974252,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.82
6350-XFYGW,0.7946149054012202,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.29
3722-WPXTK,0.7942303641446482,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.17
3320-VEOYC,0.7941675578352982,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.92
0107-YHINA,0.7940379614867058,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.21
2982-VPSGI,0.7930587928048831,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,74.55
0259-GBZSH,0.7928336726343681,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.91
0021-IKXGC,0.7926767948853641,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.15
1075-BGWOH,0.7922664973504266,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.24
4102-OQUPX,0.7922453910568862,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.94
8775-LHDJH,0.791913217685892,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.75
1455-ESIQH,0.7918417036265151,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.55
7668-XCFYV,0.7917459186837436,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.28
2205-YMZZJ,0.7914077305813588,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.11
7577-SWIFR,0.7913615264382983,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.63
8473-VUVJN,0.7912987795936295,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.28
6474-FVJLC,0.7912295944861052,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.05
0970-ETWGE,0.7903987266052804,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.78
2725-KXXWT,0.7899028543855041,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.68
9134-CEQMF,0.7898848287178271,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.69
3027-ZTDHO,0.7892713388255757,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.96
8593-WHYHV,0.788896955665411,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.29
3551-HUAZH,0.7888851338275138,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.69
1143-NMNQJ,0.7887747794515351,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.6
0187-QSXOE,0.7887298357184985,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.2
0723-DRCLG,0.7884871773726594,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.7
8414-MYSHR,0.7884481071936027,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.06
3389-YGYAI,0.7881579169975493,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,83.15
5383-MMTWC,0.788028980869359,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.19
5240-IJOQT,0.7879139688907042,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.86
4847-TAJYI,0.7876359584538907,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.38
7274-RTAPZ,0.7871658429778774,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.28
9965-YOKZB,0.7871530691686099,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.0
4927-WWOOZ,0.7865954948408796,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.93
7225-CBZPL,0.786011789385078,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,74.51
1833-VGRUM,0.7859000251106252,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.31
4988-IQIGL,0.7857985915325616,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.21
2968-SSGAA,0.7856240331509066,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.03
6894-LFHLY,0.7844892128690869,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.43
0897-FEGMU,0.7839258110872881,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.0
3319-DWOEP,0.783615372665166,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.03
8245-UMPYT,0.7829393541077618,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.48
5935-FCCNB,0.7826606126396317,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.73
9248-OJYKK,0.7821838556486382,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.8
3727-RJMEO,0.7821454640386145,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,64.8
0697-ZMSWS,0.7820515525954975,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.98
5565-FILXA,0.7816918111173651,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.16
2642-DTVCO,0.7814284884067028,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.46
7526-BEZQB,0.7806934125626717,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,74.99
9546-CQJSU,0.7805219457941867,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.34
8058-JMEQO,0.7803738796067026,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.9
3902-FOIGH,0.7800113652072451,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.05
4115-NZRKS,0.7798880697769883,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.53
7228-OMTPN,0.7792860760532371,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.93
1658-BYGOY,0.7792309293242917,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,74.38
4078-SAYYN,0.7791942800895786,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,78.5
5519-NPHVG,0.7790833305174933,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.39
3811-VBYBZ,0.7788391516611776,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,77.73
8580-AECUZ,0.7787481292726632,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,61.6
8739-XNIKG,0.7784152283240215,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.39
2034-GDRCN,0.7783783460799685,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.37
7488-MXJIV,0.7774691312190941,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.59
4145-UQXUQ,0.777458251843094,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.6
8337-UPOAQ,0.7769058166360642,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.77
1624-NALOJ,0.7767327142576924,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.75
4548-SDBKE,0.7763747350969361,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.15
9611-CTWIH,0.7756876898682584,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.39
1304-NECVQ,0.7755480689325926,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,60.92
0236-HFWSV,0.7753814930453964,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.38
7779-LGOVN,0.7751478777211162,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.17
2265-CYWIV,0.7750987961517629,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,77.2
0754-UKWQP,0.774914448194242,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,74.28
6567-HOOPW,0.7746458244877327,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,61.35
1626-ERCMM,0.7740628699136611,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.19
4587-VVTOX,0.7736347765412669,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,81.46
6969-MVBAI,0.7733211111827188,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,69.68
7576-OYWBN,0.7721463496713711,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,58.72
3452-GWUIN,0.7721014634405989,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.31
3318-NMQXL,0.7718067564733914,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.01
4713-LZDRV,0.7692106555709187,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,61.23
8258-GSTJK,0.7690957772686834,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.22
4192-GORJT,0.7687348010591717,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.61
3621-CEOVK,0.768492267472356,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,77.0
1564-NTYXF,0.7679947906253298,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,62.98
3643-AHCFP,0.767964645358652,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,73.42
1197-BVMVG,0.7674083199286877,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.13
0722-TROQR,0.7669771046780092,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.45
8382-SHQEH,0.7661089042877484,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.04
9221-OTIVJ,0.7657802911988403,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,80.29
1875-QIVME,0.7656894689480925,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,79.94
6161-UUUTA,0.7654999956986381,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,61.16
5380-AFSSK,0.7654961711489437,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.88
6230-BSUXY,0.7652196314653782,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.04
0680-DFNNY,0.7648450172385726,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,77.33
3606-TWKGI,0.7645801587319436,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,81.73
6683-VLCTZ,0.7645122561531817,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,75.34
2462-XIIJB,0.7642672583974878,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.69
5956-VKDTT,0.7639212274555256,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,56.8
7398-SKNQZ,0.7638342878222394,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.49
9451-LPGOO,0.7627352746844148,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.21
3097-NQYSN,0.762710598200023,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.24
2990-HWIML,0.7621461091005758,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.21
6358-LYNGM,0.7620434498893938,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.08
4086-YQSNZ,0.7619073515474948,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,61.26
1157-BQCUW,0.7618674683147348,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.1
1925-TIBLE,0.7617668185604491,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.89
4094-NSEDU,0.7616100960292461,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.78
1452-VOQCH,0.7613389869644231,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.18
6108-OQZDQ,0.7607934134660929,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,74.52
9787-XVQIU,0.7606330935920439,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.28
8931-GJJIQ,0.7605017799731862,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,63.35
5834-ASPWA,0.7601027354147463,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.35
4415-IJZTP,0.7595044514961182,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,56.58
1579-KLYDT,0.7590030804104824,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.65
0916-QOFDP,0.7576141005583905,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.58
8816-VXNZD,0.7573713709738265,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,56.88
9231-ZJYAM,0.7573673791702844,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.72
5955-ERIHD,0.7570207383453241,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.69
3096-GKWEB,0.7570110696818455,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.73
2215-ZAFGX,0.7558933886706575,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,64.63
5229-PRWKT,0.7555342381888153,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.39
2691-NZETQ,0.7549987555440623,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,64.44
6979-ZNSFF,0.7544270302708418,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,65.67
6688-UZPWD,0.7541033729852358,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,76.92
0195-IESCP,0.7540237543910547,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,64.28
2077-MPJQO,0.7539257020065477,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,56.85
9334-GWGOW,0.7538430677145018,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,56.43
4228-ZGYUW,0.7533866992258522,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.84
8740-CRYFY,0.7533753785614066,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.48
5960-WPXQM,0.7530146581650026,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.53
1941-HOSAM,0.7529731819312214,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.84
4951-UKAAQ,0.7528020805898863,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,66.96
2868-MZAGQ,0.7524621094054407,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.63
9189-JWSHV,0.75218716196589,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,70.37
9809-IMGCQ,0.7520596756073737,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,72.72
0404-SWRVG,0.7517088172059764,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,55.93
3387-VATUS,0.7514475297829857,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,71.27
2514-GINMM,0.7513870332322606,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.74
0318-QUUOB,0.7513721186084932,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,60.52
9957-YODKZ,0.7512587659065053,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,60.7
2672-HUYVI,0.7512503357166023,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,68.44
1761-AEZZR,0.7512057436777047,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,59.76
7249-WBIYX,0.7507561879173873,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,64.26
0637-KVDLV,0.750616486070762,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,57.42
7156-MHUGY,0.7503660911623063,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,67.91
7817-BOQPW,0.750214035839661,tenure,InternetService=Fiber optic,Contract=Month-to-month,Enroll in 90-day onboarding check-in program,56.68
